"","ID","Local_ID","Language_ID","Parameter_ID","Value","Form","Segments","Comment","Source","Cognacy","Loan","Graphemes","Profile"
"1","KaurnEngl-1_one-1",NA,"KaurnEngl","1_one","koma, kuma","koma",NA,NA,"Bowern2012",NA,NA,NA,NA
"2","KaurnEngl-1_one-1",NA,"KaurnEngl","1_one","koma, kuma","kuma",NA,NA,"Bowern2012",NA,NA,NA,NA
"3","KaurnEngl-2_two-1",NA,"KaurnEngl","2_two","parlaitye, purlaitye, purlayitye, bulaidje","parlaitye",NA,NA,"Bowern2012",NA,NA,NA,NA
"4","KaurnEngl-2_two-1",NA,"KaurnEngl","2_two","parlaitye, purlaitye, purlayitye, bulaidje","purlaitye",NA,NA,"Bowern2012",NA,NA,NA,NA
"5","KaurnEngl-2_two-1",NA,"KaurnEngl","2_two","parlaitye, purlaitye, purlayitye, bulaidje","purlayitye",NA,NA,"Bowern2012",NA,NA,NA,NA
"6","KaurnEngl-2_two-1",NA,"KaurnEngl","2_two","parlaitye, purlaitye, purlayitye, bulaidje","bulaidje",NA,NA,"Bowern2012",NA,NA,NA,NA
"7","KaurnEngl-3_three-1",NA,"KaurnEngl","3_three","marnkuje, marnkutye","marnkuje",NA,NA,"Bowern2012",NA,NA,NA,NA
"8","KaurnEngl-3_three-1",NA,"KaurnEngl","3_three","marnkuje, marnkutye","marnkutye",NA,NA,"Bowern2012",NA,NA,NA,NA
"9","KaurnEngl-4_four-1",NA,"KaurnEngl","4_four","yärrabula, yerrabulla, yerrabula","yärrabula",NA,NA,"Bowern2012",NA,NA,NA,NA
"10","KaurnEngl-4_four-1",NA,"KaurnEngl","4_four","yärrabula, yerrabulla, yerrabula","yerrabulla",NA,NA,"Bowern2012",NA,NA,NA,NA
"11","KaurnEngl-4_four-1",NA,"KaurnEngl","4_four","yärrabula, yerrabulla, yerrabula","yerrabula",NA,NA,"Bowern2012",NA,NA,NA,NA
"12","KaurnEngl-5_five-1",NA,"KaurnEngl","5_five","yerrabula kuma","yerrabula kuma",NA,NA,"Bowern2012",NA,NA,NA,NA
"13","KaurnEngl-6_six-1",NA,"KaurnEngl","6_six","yerrabula purlaitye","yerrabula purlaitye",NA,NA,"Bowern2012",NA,NA,NA,NA
"14","KaurnEngl-1_one-2",NA,"KaurnEngl","1_one","kuma; mangoui""t","kuma",NA,NA,"Bowern2012",NA,NA,NA,NA
"15","KaurnEngl-1_one-2",NA,"KaurnEngl","1_one","kuma; mangoui""t","mangoui""t",NA,NA,"Bowern2012",NA,NA,NA,NA
"16","KaurnEngl-2_two-2",NA,"KaurnEngl","2_two","burlatji, pollai""","burlatji",NA,NA,"Bowern2012",NA,NA,NA,NA
"17","KaurnEngl-2_two-2",NA,"KaurnEngl","2_two","burlatji, pollai""","pollai""",NA,NA,"Bowern2012",NA,NA,NA,NA
"18","KaurnEngl-3_three-2",NA,"KaurnEngl","3_three","mangoui""t, marnkudji, marnkutye","mangoui""t",NA,NA,"Bowern2012",NA,NA,NA,NA
"19","KaurnEngl-3_three-2",NA,"KaurnEngl","3_three","mangoui""t, marnkudji, marnkutye","marnkudji",NA,NA,"Bowern2012",NA,NA,NA,NA
"20","KaurnEngl-3_three-2",NA,"KaurnEngl","3_three","mangoui""t, marnkudji, marnkutye","marnkutye",NA,NA,"Bowern2012",NA,NA,NA,NA
"21","KaurnEngl-4_four-2",NA,"KaurnEngl","4_four","arai""sh; yerrabula","arai""sh",NA,NA,"Bowern2012",NA,NA,NA,NA
"22","KaurnEngl-4_four-2",NA,"KaurnEngl","4_four","arai""sh; yerrabula","yerrabula",NA,NA,"Bowern2012",NA,NA,NA,NA
"23","KaurnEngl-5_five-2",NA,"KaurnEngl","5_five","arai""; yerrabula kuma","arai""",NA,NA,"Bowern2012",NA,NA,NA,NA
"24","KaurnEngl-5_five-2",NA,"KaurnEngl","5_five","arai""; yerrabula kuma","yerrabula kuma",NA,NA,"Bowern2012",NA,NA,NA,NA
"25","KaurnEngl-6_six-2",NA,"KaurnEngl","6_six","paltann; yerrabula purlaitye","paltann",NA,NA,"Bowern2012",NA,NA,NA,NA
"26","KaurnEngl-6_six-2",NA,"KaurnEngl","6_six","paltann; yerrabula purlaitye","yerrabula purlaitye",NA,NA,"Bowern2012",NA,NA,NA,NA
"27","KaurnEngl-7_seven-1",NA,"KaurnEngl","7_seven","koutcho","koutcho",NA,NA,"Bowern2012",NA,NA,NA,NA
"28","KaurnEngl-8_eight-1",NA,"KaurnEngl","8_eight","poullagounn","poullagounn",NA,NA,"Bowern2012",NA,NA,NA,NA
"29","KaurnEngl-9_nine-1",NA,"KaurnEngl","9_nine","paltann","paltann",NA,NA,"Bowern2012",NA,NA,NA,NA
"30","KaurnEngl-10_ten-1",NA,"KaurnEngl","10_ten","tenndo","tenndo",NA,NA,"Bowern2012",NA,NA,NA,NA
"31","KaurnEngl-20_twenty-1",NA,"KaurnEngl","20_twenty","kouatcho","kouatcho",NA,NA,"Bowern2012",NA,NA,NA,NA
